,X,Y,AP1 RTT(mm),AP2 RTT(mm),AP3 RTT(mm),AP4 RTT(mm),AP5 RTT(mm),AP6 RTT(mm),AP7 RTT(mm),AP8 RTT(mm),AP9 RTT(mm),AP10 RTT(mm),AP11 RTT(mm),AP12 RTT(mm),AP13 RTT(mm),AP1 RSS(dBm),AP2 RSS(dBm),AP3 RSS(dBm),AP4 RSS(dBm),AP5 RSS(dBm),AP6 RSS(dBm),AP7 RSS(dBm),AP8 RSS(dBm),AP9 RSS(dBm),AP10 RSS(dBm),AP11 RSS(dBm),AP12 RSS(dBm),AP13 RSS(dBm),LOS APs
52,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,36757.0,27525.0,20266.0,12601.0,4237.0,8448.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-95.0,-91.0,-100.0,-77.0,-59.0,-66.0,None
53,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27373.0,22582.0,12560.0,3462.0,8437.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-101.0,-77.0,-59.0,-66.0,None
54,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,35960.0,27544.0,19545.0,12751.0,100000.0,8238.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-94.0,-91.0,-98.0,-77.0,-200.0,-66.0,None
55,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,34798.0,27207.0,22488.0,12676.0,4931.0,8442.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-96.0,-91.0,-101.0,-77.0,-59.0,-66.0,None
56,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27391.0,20023.0,12798.0,5187.0,8457.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-100.0,-77.0,-59.0,-66.0,None
57,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27241.0,100000.0,12763.0,4964.0,8463.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-77.0,-60.0,-66.0,None
58,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27004.0,23191.0,12635.0,5100.0,8156.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-102.0,-77.0,-59.0,-66.0,None
59,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27497.0,23520.0,12554.0,5135.0,8351.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-101.0,-77.0,-59.0,-66.0,None
60,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,36073.0,27051.0,19657.0,12716.0,5048.0,8341.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-94.0,-92.0,-99.0,-77.0,-60.0,-66.0,None
61,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,34798.0,27326.0,19066.0,12673.0,5140.0,8332.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-94.0,-91.0,-99.0,-76.0,-60.0,-66.0,None
62,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27546.0,19901.0,12632.0,4990.0,8416.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-99.0,-77.0,-59.0,-66.0,None
63,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,26766.0,20585.0,12598.0,4992.0,8250.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-98.0,-77.0,-60.0,-66.0,None
64,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27516.0,100000.0,12601.0,5067.0,8320.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-77.0,-59.0,-66.0,None
65,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,26923.0,22226.0,12591.0,100000.0,7954.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-98.0,-76.0,-200.0,-66.0,None
66,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27310.0,22591.0,12635.0,5048.0,7982.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-98.0,-77.0,-60.0,-66.0,None
67,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,36541.0,27340.0,19179.0,12716.0,5053.0,8344.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-94.0,-91.0,-97.0,-77.0,-59.0,-66.0,None
68,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,36785.0,27497.0,19788.0,12626.0,4985.0,8233.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-102.0,-92.0,-99.0,-77.0,-60.0,-66.0,None
69,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27487.0,19779.0,12663.0,4931.0,8559.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-102.0,-77.0,-60.0,-66.0,None
70,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27544.0,19666.0,12588.0,5102.0,8410.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-99.0,-77.0,-59.0,-66.0,None
71,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27548.0,20257.0,12563.0,4959.0,8448.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-99.0,-76.0,-60.0,-66.0,None
72,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27490.0,21073.0,12560.0,4983.0,8304.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-101.0,-77.0,-60.0,-66.0,None
73,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27307.0,21429.0,12673.0,5081.0,7985.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-99.0,-77.0,-60.0,-66.0,None
74,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27431.0,19891.0,12713.0,5168.0,8382.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-97.0,-77.0,-60.0,-66.0,None
75,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27375.0,20585.0,12679.0,5166.0,7866.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-97.0,-77.0,-60.0,-65.0,None
76,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27207.0,20238.0,12720.0,5013.0,8269.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-98.0,-77.0,-60.0,-66.0,None
